Time,X
"6-30",-0.013615
"6-30",-0.016346
"6-30",-0.021137
"6-30",-0.023856
"6-30",-0.035814
"6-30",-0.006928
"6-30",-0.034224
"6-30",-0.080309
"6-30",-0.103271
"6-30",-0.10527
"6-30",-0.045275
"6-30",-0.064503
"6-30",-0.057444
"6-30",-0.056315
"6-30",-0.0629
"6-30",-0.038684
"6-30",-0.006021
"6-30",-0.016839
"6-30",0.00401
"6-30",-0.031474
"6-30",-0.033821
"6-30",-0.022235
"6-30",-0.018838
"6-30",-0.0158
"6-30",-0.000949
"6-30",-0.012589
"6-30",-0.026161
"6-30",-0.055438
"6-30",-0.052749
"6-30",-0.041175
"6-30",-0.061496
"6-30",-0.046902
"6-30",-0.054928
"6-30",-0.031414
"6-30",-0.095485
"6-30",-0.146577
"6-30",-0.051452
"6-30",-0.040899
"6-30",-0.042706
"6-30",0.013807
"6-30",0.01179
"6-30",0.007318
"6-30",0.013285
"6-30",0.011808
"6-30",-0.002527
"6-30",-0.024919
"6-30",-0.016563
"6-30",-0.00344
"6-30",0.018453
"6-30",0.035328
"6-30",0.031792
"6-30",0.022199
"6-30",-0.010553
"6-30",-0.030538
"6-30",-0.01505
"6-30",-0.054136
"6-30",-0.053385
"6-30",-0.015578
"6-30",0.002803
"6-30",0.019828
"6-30",-0.042028
"6-30",-0.115481
"6-30",-0.152364
"6-30",-0.120818
"6-30",-0.044591
"6-30",-0.036499
"6-30",-0.011166
"6-30",-0.011946
"6-30",-0.064743
"6-30",-0.08115
"6-30",-0.083869
"6-30",-0.059737
"6-30",0.009575
"6-30",0.020392
"6-30",0.05123
"6-30",0.05497
"6-30",0.044435
"6-30",0.030297
"6-30",0.015794
"6-30",-0.008398
"6-30",-0.022698
"6-30",-0.01209
"6-30",0.02412
"6-30",0.053151
"6-30",0.064437
"6-30",0.054424
"6-30",0.025669
"6-30",-0.001999
"6-30",-0.035286
"6-30",-0.019756
"6-30",0.039578
"6-30",0.055036
"6-30",0.07795
"6-30",0.063585
"6-30",0.025339
"6-30",-0.006147
"6-30",-0.014179
"6-30",-0.000444
"6-30",0.021407
"6-30",0.044717
"6-30",0.076227
"6-30",0.064923
"6-30",0.055
"6-30",0.038089
"6-30",0.00428
"6-30",0.004118
"6-30",0.024991
"6-30",0.072097
"6-30",0.101326
"6-30",0.079517
"6-30",0.091367
"6-30",0.0579
"6-30",0.031636
"6-30",-0.012769
"6-30",-0.042514
"6-30",-0.035616
"6-30",-0.00796
"6-30",0.05132
"6-30",0.079517
"6-30",0.055402
"6-30",0.045149
"6-30",0.027302
"6-30",0.003932
"6-30",0.045395
"6-30",0.059208
"6-30",0.107941
"6-30",0.09082
"6-30",0.082122
"6-30",0.099801
"6-30",0.054508
"6-30",0.023754
"6-30",0.019624
"6-30",0.030496
"6-30",0.040749
"6-30",0.0348
"6-30",0.035646
"6-30",0.05383
"6-30",0.025333
"6-30",-0.010535
"6-30",-0.026318
"6-30",-0.051663
"6-30",-0.048589
"6-30",-0.012432
"6-30",0.080183
"6-30",0.095689
"6-30",0.07083
"6-30",0.067354
"6-30",0.042712
"6-30",0.015038
"6-30",0.030526
"6-30",0.065602
"6-30",0.096962
"6-30",0.108932
"6-30",0.106152
"6-30",0.109766
"6-30",0.083071
"6-30",0.063699
"6-30",0.036727
"6-30",0.039788
